numero_amostra,accel_x,accel_y,accel_z,giro_x,giro_y,giro_z
86,0.8782,0.6904,0.7222,109.84,86.35,90.32
87,0.8783,0.6904,0.7222,109.85,86.35,90.32
88,0.8784,0.6904,0.7222,109.85,86.35,90.32
89,0.8784,0.6904,0.7222,109.86,86.35,90.32
90,0.8785,0.6904,0.7222,109.87,86.35,90.32
91,0.8936,0.6904,0.7222,111.76,86.35,90.32
92,0.8936,0.6904,0.7222,111.76,86.35,90.32
93,0.8937,0.6904,0.7222,111.77,86.35,90.32
94,0.8937,0.6904,0.7222,111.78,86.35,90.32
95,0.8938,0.6904,0.7222,111.79,86.35,90.32
96,0.8939,0.6904,0.7222,111.79,86.35,90.32
97,0.8939,0.6904,0.7222,111.80,86.35,90.32
98,0.8940,0.6904,0.7222,111.81,86.35,90.32
99,0.8940,0.6904,0.7222,111.82,86.35,90.32
100,0.8941,0.6904,0.7222,111.82,86.35,90.32
101,0.7686,0.7527,0.7528,96.12,94.14,94.15
102,0.7686,0.7683,0.7528,96.12,96.09,94.15
103,0.7686,0.7839,0.7528,96.12,98.05,94.15
104,0.7686,0.7996,0.7528,96.12,100.00,94.15
105,0.7686,0.8152,0.7528,96.12,101.95,94.15
106,0.7686,0.8308,0.7528,96.12,103.91,94.15
107,0.7686,0.8464,0.7528,96.12,105.86,94.15
108,0.7686,0.8621,0.7528,96.12,107.82,94.15
109,0.7686,0.8777,0.7528,96.12,109.77,94.15
110,0.7686,0.8933,0.7528,96.12,111.73,94.15
111,0.7686,0.7527,0.7528,96.13,94.14,94.15
112,0.7686,0.7683,0.7528,96.13,96.09,94.15
113,0.7686,0.7839,0.7528,96.13,98.05,94.15
114,0.7686,0.7996,0.7528,96.13,100.00,94.15
115,0.7686,0.8152,0.7528,96.13,101.95,94.15
116,0.7686,0.8308,0.7528,96.13,103.91,94.15
117,0.7686,0.8464,0.7528,96.13,105.86,94.15
118,0.7686,0.8621,0.7528,96.13,107.82,94.15
119,0.7686,0.8777,0.7528,96.13,109.77,94.15
120,0.7686,0.8933,0.7528,96.13,111.73,94.15
121,0.7687,0.7527,0.7528,96.14,94.14,94.15
122,0.7687,0.7683,0.7528,96.14,96.09,94.15
123,0.7687,0.7839,0.7528,96.14,98.05,94.15
124,0.7687,0.7996,0.7528,96.14,100.00,94.15
125,0.7687,0.8152,0.7528,96.14,101.95,94.15
126,0.7687,0.8308,0.7528,96.14,103.91,94.15
127,0.7687,0.8464,0.7528,96.14,105.86,94.15
128,0.7687,0.8621,0.7528,96.14,107.82,94.15
129,0.7687,0.8777,0.7528,96.14,109.77,94.15
130,0.7687,0.8933,0.7528,96.14,111.73,94.15
131,0.7687,0.7527,0.7528,96.15,94.14,94.15
132,0.7687,0.7683,0.7528,96.15,96.09,94.15
133,0.7687,0.7839,0.7528,96.15,98.05,94.15
134,0.7687,0.7996,0.7528,96.15,100.00,94.15
135,0.7687,0.8152,0.7528,96.15,101.95,94.15
136,0.7687,0.8308,0.7528,96.15,103.91,94.15
137,0.7687,0.8464,0.7528,96.15,105.86,94.15
138,0.7687,0.8621,0.7528,96.15,107.82,94.15
139,0.7687,0.8777,0.7528,96.15,109.77,94.15
140,0.7687,0.8933,0.7528,96.15,111.73,94.15
141,0.7688,0.7527,0.7528,96.15,94.14,94.15
142,0.7688,0.7683,0.7528,96.15,96.09,94.15
143,0.7688,0.7839,0.7528,96.15,98.05,94.15
144,0.7688,0.7996,0.7528,96.15,100.00,94.15
145,0.7688,0.8152,0.7528,96.15,101.95,94.15
146,0.7688,0.8308,0.7528,96.15,103.91,94.15
147,0.7688,0.8464,0.7528,96.15,105.86,94.15
148,0.7688,0.8621,0.7528,96.15,107.82,94.15
149,0.7688,0.8777,0.7528,96.15,109.77,94.15
150,0.7688,0.8933,0.7528,96.15,111.73,94.15
151,0.7689,0.7527,0.7528,96.16,94.14,94.15
152,0.7689,0.7683,0.7528,96.16,96.09,94.15
